AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap,Hours
20202021,fall,2020,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,10,16,62.5,3
20202021,spr,2021,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100,6
20172018,spr,2018,BIOL-3033,BIOL-3033,Blue Planet,Eco_Evo,Elective,13,16,81.25,3
20182019,spr,2019,BIOL-3033,BIOL-3033,Blue Planet,Eco_Evo,Elective,5,16,31.25,3
20172018,spr,2018,BIOL-4021,BIOL-4021,Community Ecology,Eco_Evo,Adv Eco,8,16,50,3
20172018,spr,2018,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,14,16,87.5,6
20182019,spr,2019,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,17,16,106.25,6
20192020,spr,2020,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,16,16,100,6
20202021,spr,2021,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,13,16,81.25,6
20212022,spr,2022,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,5,16,31.25,6
20192020,spr,2020,BIOL-4029,BIOL-4029,Desert Ecology w/Lab,Eco_Evo,Adv Eco,8,16,50,6
20182019,spr,2019,BIOL-4026,BIOL-4026,Ecological Modeling,Eco_Evo,Adv Eco,7,16,43.75,3
20172018,spr,2018,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,16,16,100,6
20182019,spr,2019,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,18,16,112.5,6
20192020,spr,2020,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25,6
20202021,spr,2021,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,13,16,81.25,6
20212022,spr,2022,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,14,16,87.5,6
20202021,spr,2021,BIOL-343,BIOL-343,Evolution w/Lab,Eco_Evo,Core,12,16,75,6
20172018,spr,2018,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,17,16,106.25,6
20182019,spr,2019,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,10,16,62.5,6
20192020,spr,2020,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,10,16,62.5,6
20202021,spr,2021,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,18,16,112.5,6
20212022,spr,2022,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,11,16,68.75,6
20172018,spr,2018,FYS,FYS,FYS,NM,NM,15,15,100,4.5
20182019,spr,2019,FYS,FYS,FYS,NM,NM,15,15,100,4.5
20192020,spr,2020,FYS,FYS,FYS,NM,NM,15,15,100,4.5
20202021,spr,2021,FYS,FYS,FYS,NM,NM,15,15,100,4.5
20212022,spr,2022,FYS,FYS,FYS,NM,NM,15,15,100,4.5
20182019,spr,2019,BIOL-3081,BIOL-3081,Herpetology w/Lab,Org,Org Div,15,16,93.75,6
20212022,spr,2022,BIOL-3081,BIOL-3081,Herpetology w/Lab,Org,Org Div,15,16,93.75,6
20192020,spr,2020,BIOL-3081NL,BIOL-3081NL,Herpetology-No Lab,Org,Org Div,19,20,95,3
20202021,spr,2021,BIOL-3081NL,BIOL-3081NL,Herpetology-No Lab,Org,Org Div,17,20,85,3
20182019,spr,2019,BIOL-3080,BIOL-3080,Invasive Species,Eco_Evo,Elective,16,16,100,3
20172018,spr,2018,BIOL-3067,BIOL-3067,Microbial Ecology,Eco_Evo,Org Div,8,16,50,3
20182019,spr,2019,BIOL-3067WL,BIOL-3067WL,Microbial Ecology w/Lab,Eco_Evo,Org Div,9,16,56.25,6
20212022,spr,2022,BIOL-3067WL,BIOL-3067WL,Microbial Ecology w/Lab,Eco_Evo,Org Div,12,16,75,6
20172018,spr,2018,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,19,22,86.36363636,6
20182019,spr,2019,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,18,22,81.81818182,6
20192020,spr,2020,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,6,22,27.27272727,6
20212022,spr,2022,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,19,22,86.36363636,6
20192020,spr,2020,BIOL-218,BIOL-218,Ornithology w/Lab,Org,Org Div,13,16,81.25,6
20202021,spr,2021,BIOL-218,BIOL-218,Ornithology w/Lab,Org,Org Div,10,16,62.5,6
20182019,spr,2019,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,7,16,43.75,6
20202021,spr,2021,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,16,16,100,6
20212022,spr,2022,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,10,16,62.5,6
20192020,spr,2020,BIOL-4004NL,BIOL-4004NL,Symbiosis-No Lab,Eco_Evo,Adv Eco,6,16,37.5,3
20172018,spr,2018,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,15,16,93.75,3
20182019,spr,2019,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,17,16,106.25,3
20192020,spr,2020,BIOL-380SPK,BIOL-380,Tropical Ecology Spk Intensiv,Eco_Evo,Adv Eco,7,16,43.75,3
